Alameda County,Contra Costa County,Marin County,Napa County,San Francisco County,San Mateo County,Santa Clara County,Solano County,Sonoma County
94538,94530,94903,94591,94123,94303,94040,94510,95409
94588,94506,94901,94562,94132,94014,94041,95694,94923
94621,94509,94949,94559,94118,94015,94088,95616,94927
94720,94588,94913,94581,94103,94063,95008,94512,94953
94704,94596,94912,94503,94112,94083,95132,94503,94574
95377,94805,94970,94515,94131,94026,95148,94534,95405
94514,94806,94933,94567,94141,94060,95110,94571,95476
94615,94525,94950,94599,94164,94112,95032,95625,95492
94613,94514,94974,94573,94188,94497,95121,94585,95425
94537,94820,94941,94576,94159,94402,95153,95696,95462
94578,94802,94965,95461,94115,94019,95155,94535,95412
94606,94569,94966,94508,94117,94044,95015,94558,95433
94610,94575,94963,95476,94104,94065,95173,94533,95471
94620,94513,94930,94574,94124,94038,95103,95687,95497
94608,94521,94956,94558,94119,94018,94043,95620,95461
94662,94522,94952,,94129,94021,94024,94592,95403
94707,94564,94945,,94014,94064,94086,95690,94954
94708,94548,94939,,94134,94028,95127,94590,95402
95391,94597,94973,,94121,94070,95135,94591,95407
95035,94706,94942,,94107,94080,95159,94589,94515
94501,94511,94964,,94111,94027,95113,95688,95472
94546,94549,94940,,94130,94020,95154,95618,95448
94543,94595,94976,,94143,94074,95161,,95446
94580,94528,94979,,94147,94011,95170,,95450
94555,94516,94925,,94146,94061,95139,,94922
94703,94523,94920,,94133,94005,95055,,94952
94612,94520,94948,,94110,94401,95160,,95401
94710,94572,94938,,94122,94404,95076,,95404
94505,94804,94904,,94105,94403,95108,,94928
94624,94598,94937,,94109,94134,94035,,95444
94666,94807,94924,,94140,94025,94304,,95452
94544,94518,94977,,94158,94030,94087,,95421
94568,94531,94946,,94114,94066,95002,,94955
94579,94583,94915,,94116,94125,95126,,94931
94705,94565,94914,,94102,94017,95133,,95416
94614,94553,94971,,94108,94010,95138,,95473
94701,94708,94929,,94127,94062,95129,,95441
94536,94801,94947,,94126,94002,95131,,95439
94587,94707,94960,,,94037,95158,,95487
94566,94561,94978,,,94128,95014,,94972
94609,94570,94957,,,,95035,,95445
94611,94551,,,,,95054,,94558
94545,94611,,,,,95052,,95431
94577,94850,,,,,95056,,95419
94551,94505,,,,,95009,,94951
94602,94526,,,,,95109,,95442
94605,94519,,,,,94028,,95465
94709,94507,,,,,95101,,95406
94618,94517,,,,,94301,,95480
94623,94803,,,,,94303,,95436
94586,94524,,,,,94305,,94999
94712,94568,,,,,95150,,95486
94661,94582,,,,,95020,,95430
94541,94556,,,,,95033,,94975
94502,94547,,,,,95030,,
94542,94563,,,,,95117,,
94550,,,,,,95119,,
94552,,,,,,95130,,
94702,,,,,,95031,,
94706,,,,,,95038,,
94603,,,,,,95021,,
94604,,,,,,94302,,
94539,,,,,,94085,,
94540,,,,,,95136,,
94560,,,,,,95070,,
94619,,,,,,95111,,
94601,,,,,,95037,,
94607,,,,,,95050,,
94557,,,,,,95051,,
,,,,,,95122,,
,,,,,,95046,,
,,,,,,94023,,
,,,,,,94042,,
,,,,,,95023,,
,,,,,,94550,,
,,,,,,95156,,
,,,,,,95026,,
,,,,,,94020,,
,,,,,,95124,,
,,,,,,95120,,
,,,,,,95151,,
,,,,,,95152,,
,,,,,,95036,,
,,,,,,95172,,
,,,,,,95192,,
,,,,,,94306,,
,,,,,,95123,,
,,,,,,95128,,
,,,,,,95134,,
,,,,,,95116,,
,,,,,,95044,,
,,,,,,95071,,
,,,,,,95141,,
,,,,,,95013,,
,,,,,,94022,,
,,,,,,94089,,
,,,,,,95125,,
,,,,,,95140,,
,,,,,,95112,,
,,,,,,95118,,
,,,,,,95011,,
,,,,,,95164,,
,,,,,,94039,,
,,,,,,95157,,
,,,,,,95191,,
,,,,,,95106,,
